table_field,nonnull_count,schema,table,field
Chemistry SampleInfo.CollectedBy,10915,dbo,Chemistry SampleInfo,CollectedBy
Chemistry SampleInfo.WaterType,312,dbo,Chemistry SampleInfo,WaterType
Chemistry SampleInfo.SampleNotes,9163,dbo,Chemistry SampleInfo,SampleNotes
Chemistry SampleInfo.DataSource,10595,dbo,Chemistry SampleInfo,DataSource
Chemistry SampleInfo.SampleMaterialNotH2O,19,dbo,Chemistry SampleInfo,SampleMaterialNotH2O
Chemistry SampleInfo.OBJECTID,11442,dbo,Chemistry SampleInfo,OBJECTID
Chemistry SampleInfo.LocationId,11440,dbo,Chemistry SampleInfo,LocationId
Chemistry SampleInfo.AddedDaytoDate,11442,dbo,Chemistry SampleInfo,AddedDaytoDate
Chemistry SampleInfo.AddedMonthDaytoDate,11442,dbo,Chemistry SampleInfo,AddedMonthDaytoDate
Chemistry SampleInfo.SSMA_TimeStamp,11442,dbo,Chemistry SampleInfo,SSMA_TimeStamp
Chemistry SampleInfo.PublicRelease,6240,dbo,Chemistry SampleInfo,PublicRelease
DatatypeWPointid.LocationId,0,dbo,DatatypeWPointid,LocationId
DatatypeWPointid.PointID,0,dbo,DatatypeWPointid,PointID
DatatypeWPointid.DataType,0,dbo,DatatypeWPointid,DataType
Equipment.LocationId,1051,dbo,Equipment,LocationId
Equipment.PointID,1051,dbo,Equipment,PointID
Equipment.ID,1051,dbo,Equipment,ID
Equipment.EquipmentType,1051,dbo,Equipment,EquipmentType
Equipment.DateInstalled,1026,dbo,Equipment,DateInstalled
Equipment.DateRemoved,750,dbo,Equipment,DateRemoved
Equipment.SerialNo,981,dbo,Equipment,SerialNo
Equipment.Model,930,dbo,Equipment,Model
Equipment.HangingCableLength,1051,dbo,Equipment,HangingCableLength
Equipment.HangingPointDescription,628,dbo,Equipment,HangingPointDescription
